model,token,total_attr,mean_attr,count
Gemma,048,-0.29538431763648987,-0.29538431763648987,1
Gemma,1,-1.722541093826294,-1.722541093826294,1
Gemma,200,-0.47161757946014404,-0.47161757946014404,1
Gemma,a,3.162388503551483,0.21082590023676553,15
Gemma,able,-0.06480211019515991,-0.06480211019515991,1
Gemma,about,-0.2239326387643814,-0.1119663193821907,2
Gemma,actually,0.09894408285617828,0.04947204142808914,2
Gemma,all,0.1716965138912201,0.1716965138912201,1
Gemma,allegedly,1.9577646255493164,1.9577646255493164,1
Gemma,also,-0.2344633787870407,-0.2344633787870407,1
Gemma,always,-0.20193345844745636,-0.20193345844745636,1
Gemma,an,0.2864357531070709,0.14321787655353546,2
Gemma,and,-2.0846654400229454,-0.2316294933358828,9
Gemma,around,-0.2533442508429289,-0.12667212542146444,2
Gemma,artile,0.2608236223459244,0.2608236223459244,1
Gemma,aspie,1.007434755563736,1.007434755563736,1
Gemma,ass,10.04438304901123,3.3481276830037436,3
Gemma,asshole,5.693190485239029,5.693190485239029,1
Gemma,awesome,-1.217627763748169,-1.217627763748169,1
Gemma,ayo,0.23166370391845703,0.23166370391845703,1
Gemma,bad,1.4915745258331299,0.7457872629165649,2
Gemma,be,0.8119838982820511,0.06766532485683759,12
Gemma,because,-0.32592650316655636,-0.16296325158327818,2
Gemma,begin,-0.5223430395126343,-0.5223430395126343,1
Gemma,bitch,7.206509791314602,2.4021699304382005,3
Gemma,blonde,0.7209288477897644,0.7209288477897644,1
Gemma,blowjob,1.634512148797512,0.817256074398756,2
Gemma,bother,0.07375341653823853,0.07375341653823853,1
Gemma,bullshit,3.5569095611572266,3.5569095611572266,1
Gemma,bunch,0.7716577053070068,0.7716577053070068,1
Gemma,but,-0.5056820511817932,-0.5056820511817932,1
Gemma,call,-0.00801071897149086,-0.00801071897149086,1
Gemma,can,-0.17487996071577072,-0.05829332023859024,3
Gemma,cap,-0.08397084474563599,-0.08397084474563599,1
Gemma,cappy,0.43420541286468506,0.43420541286468506,1
Gemma,care,0.042897168546915054,0.042897168546915054,1
Gemma,cocksucker,0.44375795125961304,0.44375795125961304,1
Gemma,colleague,-0.19622811675071716,-0.19622811675071716,1
Gemma,complete,0.21818599104881287,0.21818599104881287,1
Gemma,contain,-0.18961749970912933,-0.18961749970912933,1
Gemma,continue,-0.49673065915703773,-0.49673065915703773,1
Gemma,cos,0.23820342123508453,0.23820342123508453,1
Gemma,dc,-0.036050375550985336,-0.036050375550985336,1
Gemma,dick,9.913048267364502,2.4782620668411255,4
Gemma,diligent,-0.12680378556251526,-0.12680378556251526,1
Gemma,do,1.1603804603219032,0.38679348677396774,3
Gemma,dollar,0.07511398568749428,0.07511398568749428,1
Gemma,dumb,4.223361015319824,4.223361015319824,1
Gemma,enjoy,-0.07119324803352356,-0.07119324803352356,1
Gemma,entitle,0.012637868523597717,0.012637868523597717,1
Gemma,era,-0.6004283428192139,-0.6004283428192139,1
Gemma,everyone,2.901160955429077,2.901160955429077,1
Gemma,faggot,1.979657232761383,1.979657232761383,1
Gemma,family,2.025818109512329,2.025818109512329,1
Gemma,fart,1.306146264076233,1.306146264076233,1
Gemma,fat,3.2545881271362305,3.2545881271362305,1
Gemma,feel,-0.11563324928283691,-0.05781662464141846,2
Gemma,female,0.08852792531251907,0.08852792531251907,1
Gemma,film,-0.9790395498275757,-0.9790395498275757,1
Gemma,for,-0.5223934203386307,-0.13059835508465767,4
Gemma,friend,-0.13504678010940552,-0.13504678010940552,1
Gemma,frighten,0.8985217213630676,0.8985217213630676,1
Gemma,fuck,33.40217876434326,6.680435752868652,5
Gemma,fucking,30.127541542053223,5.021256923675537,6
Gemma,full,0.18858686089515686,0.18858686089515686,1
Gemma,gamer,0.07390691339969635,0.07390691339969635,1
Gemma,gentrifie,-1.305582731962204,-1.305582731962204,1
Gemma,get,0.1368403285741806,0.0684201642870903,2
Gemma,gif,0.9076516628265381,0.9076516628265381,1
Gemma,give,0.8598490953445435,0.8598490953445435,1
Gemma,go,1.3280239030718803,0.3320059757679701,4
Gemma,god,0.2658805549144745,0.2658805549144745,1
Gemma,good,0.3763228952884674,0.3763228952884674,1
Gemma,guy,-1.1231051087379456,-0.5615525543689728,2
Gemma,hackneywhacko,2.4408160150051117,2.4408160150051117,1
Gemma,hair,0.11983168125152588,0.11983168125152588,1
Gemma,hat,3.1739017963409424,3.1739017963409424,1
Gemma,hate,0.7485498785972595,0.7485498785972595,1
Gemma,have,-0.07114561647176743,-0.07114561647176743,1
Gemma,he,0.4451991319656372,0.4451991319656372,1
Gemma,his,0.913512110710144,0.456756055355072,2
Gemma,how,-0.02505333349108696,-0.01252666674554348,2
Gemma,i,0.5196512266993523,0.10393024533987046,5
Gemma,idiot,6.44150447845459,6.44150447845459,1
Gemma,in,-0.6670011281967163,-0.22233370939890543,3
Gemma,inquire,-0.006990890949964523,-0.006990890949964523,1
Gemma,instead,0.5347937345504761,0.5347937345504761,1
Gemma,it,0.0694359689950943,0.03471798449754715,2
Gemma,joke,-0.027540385723114014,-0.027540385723114014,1
Gemma,just,0.014080777764320374,0.007040388882160187,2
Gemma,kill,3.069697618484497,3.069697618484497,1
Gemma,killa,0.8130341917276382,0.8130341917276382,1
Gemma,know,-0.43699416518211365,-0.43699416518211365,1
Gemma,lazy,0.7613322734832764,0.7613322734832764,1
Gemma,liar,2.0173165798187256,2.0173165798187256,1
Gemma,life,0.3514035642147064,0.3514035642147064,1
Gemma,like,-0.32170213386416435,-0.16085106693208218,2
Gemma,little,0.8500286340713501,0.8500286340713501,1
Gemma,long,-0.1276332139968872,-0.1276332139968872,1
Gemma,make,0.014188310131430626,0.014188310131430626,1
Gemma,money,0.01200200617313385,0.01200200617313385,1
Gemma,motherfucker,7.15510718524456,7.15510718524456,1
Gemma,much,0.03135126084089279,0.03135126084089279,1
Gemma,my,-0.19596820324659348,-0.09798410162329674,2
Gemma,narcissist,0.252608060836792,0.252608060836792,1
Gemma,naturally,0.16041158139705658,0.16041158139705658,1
Gemma,nigga,2.924668699502945,1.4623343497514725,2
Gemma,no,-0.11903557181358337,-0.11903557181358337,1
Gemma,not,-0.09705979377031326,-0.09705979377031326,1
Gemma,note,0.3340759575366974,0.3340759575366974,1
Gemma,occur,0.5462196245789528,0.5462196245789528,1
Gemma,of,0.8762787841260433,0.12518268344657763,7
Gemma,offense,0.5784100294113159,0.5784100294113159,1
Gemma,on,-0.14347337186336517,-0.14347337186336517,1
Gemma,one,-0.7479506358504295,-0.24931687861680984,3
Gemma,only,0.4320887327194214,0.4320887327194214,1
Gemma,oppose,-0.04022546857595444,-0.04022546857595444,1
Gemma,or,-0.2649405002593994,-0.2649405002593994,1
Gemma,order,-0.052000951021909714,-0.052000951021909714,1
Gemma,orgasm,-0.5217629298567772,-0.5217629298567772,1
Gemma,out,0.5726847648620605,0.19089492162068686,3
Gemma,pay,-0.046854764223098755,-0.046854764223098755,1
Gemma,pc,0.2801557779312134,0.2801557779312134,1
Gemma,penis,6.870639801025391,6.870639801025391,1
Gemma,people,0.17098014801740646,0.08549007400870323,2
Gemma,porno,1.7130213975906372,1.7130213975906372,1
Gemma,psychiatrist,0.9174476861953735,0.9174476861953735,1
Gemma,punter,0.2859823554754257,0.2859823554754257,1
Gemma,put,-0.3692787289619446,-0.3692787289619446,1
Gemma,quicksilver,1.190809078514576,1.190809078514576,1
Gemma,reviewer,-0.11222968250513077,-0.11222968250513077,1
Gemma,ring,0.3355857729911804,0.3355857729911804,1
Gemma,run,0.2466319352388382,0.2466319352388382,1
Gemma,say,-0.03456701338291168,-0.03456701338291168,1
Gemma,see,0.16251042112708092,0.08125521056354046,2
Gemma,sell,0.6772283613681793,0.33861418068408966,2
Gemma,sense,-1.2549412250518799,-1.2549412250518799,1
Gemma,she,-0.02727280557155609,-0.02727280557155609,1
Gemma,shit,0.9543012380599976,0.9543012380599976,1
Gemma,show,0.06595544517040253,0.06595544517040253,1
Gemma,slut,3.828554183244705,3.828554183244705,1
Gemma,small,0.4593009948730469,0.4593009948730469,1
Gemma,smith,0.40714386105537415,0.40714386105537415,1
Gemma,some,-0.05447530746459961,-0.05447530746459961,1
Gemma,stick,1.0922335386276245,1.0922335386276245,1
Gemma,suck,4.755711555480957,4.755711555480957,1
Gemma,tell,0.07210177928209305,0.036050889641046524,2
Gemma,that,0.34125499427318573,0.05687583237886429,6
Gemma,the,-0.3444885388016701,-0.04306106735020876,8
Gemma,their,-0.1620260290801525,-0.08101301454007626,2
Gemma,there,0.8219692707061768,0.8219692707061768,1
Gemma,these,0.24580946564674377,0.24580946564674377,1
Gemma,they,-0.09333164617419243,-0.023332911543548107,4
Gemma,thin,0.6683027744293213,0.6683027744293213,1
Gemma,think,-0.22968624532222748,-0.11484312266111374,2
Gemma,this,2.1734874472022057,0.4346974894404411,5
Gemma,time,-0.11584208905696869,-0.11584208905696869,1
Gemma,to,0.014346271753311157,0.0035865679383277893,4
Gemma,too,-0.10398737341165543,-0.10398737341165543,1
Gemma,topic,-0.3363640606403351,-0.3363640606403351,1
Gemma,vandal,0.7181661427021027,0.7181661427021027,1
Gemma,wake,0.1691315770149231,0.1691315770149231,1
Gemma,wat,-0.09761129319667816,-0.09761129319667816,1
Gemma,watch,-0.6068892478942871,-0.6068892478942871,1
Gemma,weirdo,1.2044545412063599,1.2044545412063599,1
Gemma,what,-0.3749966211616993,-0.18749831058084965,2
Gemma,when,-0.30575668811798096,-0.15287834405899048,2
Gemma,wherever,-0.2559252381324768,-0.2559252381324768,1
Gemma,while,-0.22122223675251007,-0.22122223675251007,1
Gemma,who,-0.3263041526079178,-0.08157603815197945,4
Gemma,why,-3.681399255990982,-3.681399255990982,1
Gemma,with,-1.0128857418894768,-0.2532214354723692,4
Gemma,woman,2.927154302597046,1.463577151298523,2
Gemma,would,0.19557077065110207,0.09778538532555103,2
Gemma,write,-0.35021165013313293,-0.35021165013313293,1
Gemma,you,2.762433096766472,0.2762433096766472,10
Gemma,young,-0.9630346894264221,-0.48151734471321106,2
Gemma,your,0.9299003779888153,0.3099667926629384,3
Gemma,yourself,0.1931343376636505,0.1931343376636505,1
Llama,200,0.062092386186122894,0.062092386186122894,1
Llama,4,0.23149651288986206,0.23149651288986206,1
Llama,a,3.9397587329149246,0.23175051370087793,17
Llama,about,-1.3968981802463531,-0.46563272674878436,3
Llama,add,-0.05177957937121391,-0.05177957937121391,1
Llama,alison,-0.07983136922121048,-0.07983136922121048,1
Llama,all,1.0553577914834023,0.1507653987833432,7
Llama,also,-0.12146766483783722,-0.12146766483783722,1
Llama,an,0.002288300544023514,0.002288300544023514,1
Llama,and,0.30935166915878654,0.02379628224298358,13
Llama,ant,0.17245489358901978,0.17245489358901978,1
Llama,any,-0.21615226566791534,-0.21615226566791534,1
Llama,as,0.03563755750656128,0.01781877875328064,2
Llama,ass,17.473116397857666,4.3682790994644165,4
Llama,at,-0.3734596371650696,-0.1867298185825348,2
Llama,azalea,0.4353795349597931,0.4353795349597931,1
Llama,back,-0.15691490471363068,-0.15691490471363068,1
Llama,ball,0.17944148182868958,0.17944148182868958,1
Llama,barf,1.4125648736953735,1.4125648736953735,1
Llama,basturd,0.455762043595314,0.455762043595314,1
Llama,be,-0.5548597760498524,-0.036990651736656825,15
Llama,beautiful,-0.4447365403175354,-0.4447365403175354,1
Llama,because,-0.1047126054763794,-0.1047126054763794,1
Llama,bind,-0.08998358249664307,-0.08998358249664307,1
Llama,bitch,14.334827721118927,2.8669655442237856,5
Llama,bitter,1.0643751621246338,1.0643751621246338,1
Llama,black,0.6454184055328369,0.6454184055328369,1
Llama,boy,0.5415377616882324,0.5415377616882324,1
Llama,boyfriend,-0.16335240006446838,-0.16335240006446838,1
Llama,bro,-0.024581704288721085,-0.024581704288721085,1
Llama,bully,2.3246124982833862,2.3246124982833862,1
Llama,bunch,0.14172543585300446,0.14172543585300446,1
Llama,burn,0.5442517995834351,0.5442517995834351,1
Llama,but,-0.10372480750083923,-0.10372480750083923,1
Llama,by,0.0027984455227851868,0.0027984455227851868,1
Llama,call,-0.03601828217506409,-0.018009141087532043,2
Llama,can,-0.567927747964859,-0.2839638739824295,2
Llama,cancer,0.6901563555002213,0.6901563555002213,1
Llama,career,-0.3222200572490692,-0.3222200572490692,1
Llama,celebrity,0.12384450435638428,0.12384450435638428,1
Llama,cheek,0.2204509675502777,0.2204509675502777,1
Llama,chinxy,0.17114049568772316,0.17114049568772316,1
Llama,choice,-0.25162404775619507,-0.25162404775619507,1
Llama,city,-0.3245883584022522,-0.3245883584022522,1
Llama,cock,1.6695327758789062,1.6695327758789062,1
Llama,conceivable,0.13903361558914185,0.13903361558914185,1
Llama,constitution,-1.0779663771390915,-1.0779663771390915,1
Llama,cop,0.18422643840312958,0.18422643840312958,1
Llama,cunt,6.493803143501282,6.493803143501282,1
Llama,damn,6.047858446836472,3.023929223418236,2
Llama,dare,0.20225858688354492,0.20225858688354492,1
Llama,day,-0.06314101815223694,-0.06314101815223694,1
Llama,death,0.5140665769577026,0.5140665769577026,1
Llama,dick,10.865570232272148,5.432785116136074,2
Llama,disengenuous,0.34831297397613525,0.34831297397613525,1
Llama,do,0.27813804149627686,0.27813804149627686,1
Llama,due,-0.28829672932624817,-0.28829672932624817,1
Llama,eat,-0.01803949475288391,-0.009019747376441956,2
Llama,equate,-0.02772437036037445,-0.02772437036037445,1
Llama,exposure,0.28365568816661835,0.28365568816661835,1
Llama,face,0.2013026475906372,0.2013026475906372,1
Llama,family,0.004091188311576843,0.004091188311576843,1
Llama,fascism,0.6251042447984219,0.6251042447984219,1
Llama,feather,1.0070176422595978,1.0070176422595978,1
Llama,fill,0.4511507451534271,0.4511507451534271,1
Llama,first,-0.2683597803115845,-0.2683597803115845,1
Llama,fit,0.035270508378744125,0.035270508378744125,1
Llama,follow,0.0049028415232896805,0.0049028415232896805,1
Llama,former,-0.2808806002140045,-0.2808806002140045,1
Llama,fuck,29.81985181570053,4.259978830814362,7
Llama,fucker,6.131847858428955,6.131847858428955,1
Llama,fucking,32.90925735235214,3.290925735235214,10
Llama,fucktard,1.1756708025932312,1.1756708025932312,1
Llama,gain,0.025711655616760254,0.025711655616760254,1
Llama,get,-0.1576751507818699,-0.05255838359395663,3
Llama,ghastly,1.1967652142047882,1.1967652142047882,1
Llama,girl,0.14543792605400085,0.14543792605400085,1
Llama,give,0.09971682727336884,0.09971682727336884,1
Llama,glow,-0.5945692658424377,-0.5945692658424377,1
Llama,go,0.04790562391281128,0.01197640597820282,4
Llama,great,-0.17439791560173035,-0.17439791560173035,1
Llama,grohl,0.1364418789744377,0.1364418789744377,1
Llama,guy,0.1602415144443512,0.1602415144443512,1
Llama,hair,0.23053070902824402,0.23053070902824402,1
Llama,hand,0.7161437273025513,0.7161437273025513,1
Llama,hard,0.24873510003089905,0.24873510003089905,1
Llama,have,-0.42584913969039917,-0.14194971323013306,3
Llama,he,0.3162120245397091,0.06324240490794182,5
Llama,headshot,0.858114629983902,0.858114629983902,1
Llama,hell,1.238776445388794,1.238776445388794,1
Llama,here,0.16510099172592163,0.16510099172592163,1
Llama,his,1.1038732454180717,0.22077464908361435,5
Llama,hit,0.16416576504707336,0.16416576504707336,1
Llama,how,0.24449115991592407,0.24449115991592407,1
Llama,i,0.41914527863264084,0.10478631965816021,4
Llama,idiotic,3.3013200759887695,3.3013200759887695,1
Llama,if,-0.5912837088108063,-0.14782092720270157,4
Llama,iggy,-0.2009221613407135,-0.2009221613407135,1
Llama,impose,0.2581423819065094,0.2581423819065094,1
Llama,in,1.0930036883801222,0.5465018441900611,2
Llama,it,-0.19658267498016357,-0.049145668745040894,4
Llama,judge,0.10669681429862976,0.10669681429862976,1
Llama,jump,0.269830584526062,0.269830584526062,1
Llama,just,-0.22439048439264297,-0.074796828130881,3
Llama,keep,0.2077549695968628,0.2077549695968628,1
Llama,kick,1.0148552656173706,1.0148552656173706,1
Llama,kitchen,-0.14692117273807526,-0.14692117273807526,1
Llama,lar,-0.6230303049087524,-0.6230303049087524,1
Llama,last,0.015530962496995926,0.015530962496995926,1
Llama,lead,-0.32515665888786316,-0.32515665888786316,1
Llama,leader,-0.020584171637892723,-0.020584171637892723,1
Llama,legislation,-0.02363044023513794,-0.02363044023513794,1
Llama,lick,0.48393466509878635,0.48393466509878635,1
Llama,lie,1.0112274289131165,1.0112274289131165,1
Llama,life,0.263174831867218,0.263174831867218,1
Llama,long,-0.2807186245918274,-0.2807186245918274,1
Llama,loser,5.642341494560242,5.642341494560242,1
Llama,love,-1.0494559407234192,-0.3498186469078064,3
Llama,make,-0.07190004736185074,-0.07190004736185074,1
